Planet, Satellite, ID, GM (km^3/s^2)
Jupiter	Ganymede	503	9887.83275	0.00017	JUP365	2631.20	1.70	1	1.9416	0.0038	*
Saturn	Titan	606	8978.13737	0.00025	SAT427	2574.73	0.09	1	1.8815	0.0002	*
Jupiter	Callisto	504	7179.28340	0.00122	JUP365	2410.30	1.50	1	1.8340	0.0034	*
Jupiter	Io	501	5959.91547	0.00052	JUP365	1821.49	0.50	1	3.5276	0.0029	*
Earth	Moon	301	4902.800	0.001	DE440	1737.4	0.1	1	3.344	0.001	*
Jupiter	Europa	502	3202.71210	0.00050	JUP365	1560.80	0.30	1	3.0130	0.0017	*
Neptune	Triton	801	1428.49546	0.61603	NEP097	1352.60	2.40	1	2.0649	0.0110	*
Uranus	Titania	703	226.9	4.1	URA111	788.9	1.8	1	1.653	0.032	*
Uranus	Oberon	704	205.3	5.8	URA111	761.4	2.6	1	1.664	0.050	*
Saturn	Rhea	605	153.94091	0.00040	SAT427	763.5	0.6	1	1.2372	0.0029	*
Saturn	Iapetus	608	120.50818	0.00274	SAT427	734.3	2.8	1	1.0887	0.0125	*
Pluto	Charon	901	105.88	0.28	PLU043	606.0	0.5	2	1.7018	0.0062	*
Uranus	Umbriel	702	85.1	1.9	URA111	584.7	2.8	1	1.523	0.041	*
Uranus	Ariel	701	83.5	1.4	URA111	578.9	0.6	1	1.539	0.026	*
Saturn	Dione	604	73.11618	0.00005	SAT427	561.4	0.4	1	1.4781	0.0033	*
Saturn	Tethys	603	41.21405	0.00034	SAT427	531.0	0.6	1	0.9841	0.0033	*
Saturn	Enceladus	602	7.21050	0.00008	SAT427	252.1	0.2	1	1.6097	0.0038	*
Uranus	Miranda	705	4.3	0.2	URA111	235.8	0.7	1	1.178	0.053	*
Neptune	Proteus	808	2.58342	2.42070	NEP097	208.00	8.00	1	1.0269	0.9695	*
Saturn	Mimas	601	2.50363	0.00014	SAT427	198.2	0.4	1	1.1502	0.0070	*
Saturn	Phoebe	609	0.55811	0.00176	SAT427	106.5	0.7	1	1.6526	0.0330	*
Saturn	Hyperion	607	0.37042	0.00005	SAT427	135.0	4.0	1	0.5385	0.0001	*
Neptune	Larissa	807	0.25484	3.12230	NEP097	96.00	7.00	1	1.0303	12.626	*
Neptune	Galatea	806	0.18990	0.76278	NEP097	79.00	12.00	1	1.3777	5.5695	*
Jupiter	Amalthea	505	0.16456	0.00818	JUP365	83.50	3.00	1	0.9250	0.1117	*
Jupiter	Himalia	506	0.15155	0.05763	JUP344	85.00	10.00	1	0.8827	0.4580	*
Saturn	Janus	610	0.12662	0.00007	SAT415	89.2	0.8	1	0.6381	0.0172	*
Neptune	Despina	805	0.11673	0.25263	NEP097	74.00	10.00	1	1.0304	2.2689	*
Saturn	Epimetheus	611	0.03514	0.00002	SAT415	58.2	1.2	1	0.6375	0.0394	*
Jupiter	Thebe	514	0.03015	0.01250	JUP365	49.30	4.00	1	0.9000	0.4327	*
Neptune	Thalassa	804	0.02359	0.00522	NEP097	40.00	8.00	1	1.3184	0.8432	*
Saturn	Prometheus	616	0.01071	0.00001	SAT415	43.1	1.2	1	0.4784	0.0400	*
Saturn	Pandora	617	0.00926	0.00002	SAT415	40.6	1.5	1	0.4948	0.0549	*
Neptune	Naiad	803	0.00853	0.00480	NEP097	29.00	6.00	1	1.2511	1.0478	*
Pluto	Hydra	903	0.0032	0.0028	PLU043	18.5	2.0	3	1.8078	1.6870	*
Pluto	Nix	902	0.0030	0.0027	PLU043	18.0	2.0	3	1.8400	1.7660	*
Jupiter	Metis	516	0.00250	0.00160	JUP365	21.50	4.00	1	0.9002	0.7642	*
Pluto	Kerberos	904	0.0011	0.0006	PLU043	6.0	2.0	3	18.216	20.750	*
Mars	Phobos	401	0.0007087	0.0000006	MAR097	11.08	0.04	1	1.872	0.076	*
Saturn	Helene	612	0.00046	0.00004	SAT427	18.0	0.4	1	0.2792	0.0210	*
Saturn	Atlas	615	0.00037	0.00001	SAT415	15.1	0.8	1	0.3850	0.0613	*
Saturn	Pan	618	0.00028	0.00014	SAT415	14.0	1.2	1	0.3650	0.2052	*
Jupiter	Adrastea	515	0.00014	0.00020	JUP365	8.20	4.00	1	0.9018	1.8507	*
Mars	Deimos	402	0.0000962	0.0000028	MAR097	6.2	0.24	1	1.471	0.166	*
